episode,env_reward,gen_reward
1,1438.370000000001,-1438.370000000001
2,1388.9100000000003,-1388.9100000000003
3,1408.7000000000005,-1408.7000000000005
4,1498.3700000000008,-1498.3700000000008
5,1328.500000000001,-1328.500000000001
6,1089.1100000000006,-1089.1100000000006
7,1299.16,-1299.16
8,29.719999999999988,-29.719999999999988
9,0.0,-0.0
10,0.0,-0.0
11,0.0,-0.0
12,0.0,-0.0
13,0.0,-0.0
14,-0.09999999999999999,0.09999999999999999
15,-0.060000000000000005,0.060000000000000005
16,49.44,-49.44
17,9.660000000000005,-9.660000000000005
18,1728.7600000000007,-1728.7600000000007
19,1393.7400000000007,-1393.7400000000007
20,1418.340000000001,-1418.340000000001
